0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 9.986244019158028777e+02 3.289519496690364309e-02 1.248971785501577390e-04 2.681598674252790637e+00
3.000000000000000000e+00 9.444095481151940703e+02 4.528651256885411064e-02 1.304343209185571280e-04 3.079227333600865091e+00
4.000000000000000000e+00 8.924150948428776928e+02 4.242923237694916361e-02 1.174074729437556196e-04 2.954489698999755110e+00
5.000000000000000000e+00 8.531968743004398448e+02 3.077171924856962962e-02 9.663273121667281557e-05 2.572826544591148679e+00
6.000000000000000000e+00 8.259730390820254797e+02 1.847978353516500569e-02 7.649932664748870770e-05 2.115167721865786721e+00
7.000000000000000000e+00 8.082945053934544148e+02 1.009934844897001499e-02 6.173830563584861773e-05 1.686166954633844695e+00
8.000000000000000000e+00 7.973381424477689734e+02 6.030057716103823934e-03 5.385922805049762169e-05 1.337734915807677671e+00
9.000000000000000000e+00 7.917201755884392469e+02 4.559705039062590670e-03 5.245026250718614182e-05 1.083856997270308042e+00
1.000000000000000000e+01 7.900441441709276660e+02 3.969840849425338748e-03 5.625431035969050998e-05 9.237674581977225463e-01
1.100000000000000000e+01 7.909706218278964798e+02 3.452793288766258743e-03 6.383599787656721260e-05 8.455712601987032118e-01
1.200000000000000000e+01 7.951350124267936508e+02 2.965110136673261218e-03 7.401831463738626268e-05 8.326488484086944641e-01
1.300000000000000000e+01 8.006195663600981334e+02 2.682513899268820518e-03 8.595202981427445526e-05 8.612910311729009560e-01
1.400000000000000000e+01 8.073094730555361593e+02 2.663271897696879980e-03 9.913131438342605425e-05 9.078561051573629248e-01
1.500000000000000000e+01 8.141662151640653065e+02 2.825270148825192139e-03 1.132972866453935205e-04 9.617779293883368386e-01
1.600000000000000000e+01 8.228830100822999611e+02 3.058013579889024437e-03 1.283324670955293732e-04 1.021309778830255199e+00
1.700000000000000000e+01 8.333035505647147829e+02 3.364802691972793372e-03 1.441974385575156765e-04 1.081665374584088957e+00
1.800000000000000000e+01 8.443033099830250876e+02 3.781144501289971076e-03 1.608704022844704886e-04 1.140038066164389408e+00
1.900000000000000000e+01 8.566491395575912975e+02 4.354944504908610063e-03 1.783435965202273348e-04 1.199714164822068829e+00
2.000000000000000000e+01 8.687335799874631448e+02 5.107649117152829668e-03 1.966121331275642100e-04 1.256413301943859029e+00
