0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 7.375779070532147443e+02 1.455742409796446923e-02 6.350212772900321262e-05 2.339550166771577011e+00
3.000000000000000000e+00 7.258173251747447239e+02 2.768104342000932486e-02 8.722557218709309538e-05 2.806564183154934167e+00
4.000000000000000000e+00 7.152220851995997464e+02 3.729056325322843701e-02 1.038826866995548235e-04 2.934830611778546761e+00
5.000000000000000000e+00 7.071312308944765164e+02 4.054382780798355956e-02 1.141173749033623204e-04 2.841823353057937762e+00
6.000000000000000000e+00 7.015021084637237436e+02 3.763823317387296474e-02 1.202604107376455730e-04 2.625605788165137344e+00
7.000000000000000000e+00 6.985396314090262422e+02 3.071700469134200362e-02 1.250672145114216469e-04 2.354313551707565288e+00
8.000000000000000000e+00 6.978332578471067791e+02 2.248902908838525116e-02 1.311582382722578340e-04 2.075108148620865567e+00
9.000000000000000000e+00 6.992057475296941220e+02 1.515762466858076168e-02 1.403807364497014953e-04 1.815509193882139938e+00
1.000000000000000000e+01 7.020161606456065329e+02 9.921086518129109896e-03 1.536752378033508042e-04 1.590786810377967209e+00
1.100000000000000000e+01 7.059015754487116965e+02 6.949773961077499070e-03 1.715030009820705864e-04 1.409467988570745067e+00
1.200000000000000000e+01 7.120980627282249316e+02 5.730893211839106945e-03 1.939114881417145029e-04 1.277881156877359148e+00
1.300000000000000000e+01 7.179131551559562467e+02 5.505255193445014912e-03 2.205501356105962329e-04 1.191501780092902196e+00
1.400000000000000000e+01 7.241360641787499617e+02 5.616377696625703825e-03 2.510668943077438379e-04 1.149267258552937765e+00
1.500000000000000000e+01 7.301514084366660882e+02 5.699843187772224429e-03 2.850401157177737100e-04 1.145221769142367174e+00
1.600000000000000000e+01 7.376259218285179031e+02 5.675748383771714485e-03 3.220767432835175501e-04 1.176275595168017274e+00
1.700000000000000000e+01 7.463106462723715140e+02 5.667083353382736111e-03 3.619019076142335287e-04 1.233115626596701375e+00
1.800000000000000000e+01 7.550157623826618192e+02 5.822129920613600650e-03 4.042889556876978589e-04 1.307316471364821542e+00
1.900000000000000000e+01 7.645726157864127117e+02 6.240612306544928746e-03 4.490928049276181593e-04 1.395356252566786637e+00
2.000000000000000000e+01 7.734541164207571455e+02 6.963914176387839966e-03 4.962014143142484245e-04 1.485741917006355051e+00
